created_at,user,text_clean,text_preprocessed
2022-04-18 03:24:19+00:00,Kodim 0731/Kulon Progo,pelda baridi babinsa bumirejo koramil lendah kodim kulon progo melaksanakan pemantauan penyaluran bpnt dari kemensos ri dan subsidi minyak goreng bagi  warga kalurahan bumirejo kapanewon lendah yang berlangsung di kantor pos lendah minggu,"['pelda', 'barid', 'babinsa', 'bumirejo', 'koramil', 'lendah', 'kodim', 'kulon', 'progo', 'laksana', 'pantau', 'salur', 'bpnt', 'kemensos', 'ri', 'subsidi', 'minyak', 'goreng', 'warga', 'kalurahan', 'bumirejo', 'kapanewon', 'lendah', 'kantor', 'pos', 'lendah', 'minggu']"
2022-04-18 03:23:46+00:00,SifraAgustinda,blt minyak goreng ayo percaya jokowi,"['blt', 'minyak', 'goreng', 'ayo', 'percaya', 'jokowi']"
2022-04-18 03:20:48+00:00,Imawan Anshari,basyik banget ya acara festival ramadan kemarin karena ternyata tvone berkolaborasi dengan sinar mas memberikan bantuan minyak goreng dan wakaf alquran kepada masyarakat yang telah melakukan vaksinasi booster pada acara festival ramadan ikut senang melihatnya xfxfxxa,"['basyik', 'banget', 'ya', 'acara', 'festival', 'ramadan', 'kemarin', 'tvone', 'kolaborasi', 'sinar', 'mas', 'bantu', 'minyak', 'goreng', 'wakaf', 'alquran', 'masyarakat', 'vaksinasi', 'booster', 'acara', 'festival', 'ramadan', 'senang', 'xfxfxxa']"
2022-04-18 03:20:30+00:00,Polres Kukar,kukar  polsek jajaran polres kukar melaksanan kegiatan pemantauan sekaligus pengecekan minyak goreng terkait antisipasinya kelangkaan minyak di wilayah kabupaten kukar senin nnn,"['kukar', 'polsek', 'jajar', 'polres', 'kukar', 'melaksanan', 'giat', 'pantau', 'kece', 'minyak', 'goreng', 'kait', 'antisipasi', 'langka', 'minyak', 'wilayah', 'kabupaten', 'kukar', 'senin', 'nnn']"
2022-04-18 03:20:02+00:00,Zy mak tiri otong 🍒 🍀,yeeyyy pesanan hampers dah jadi sebagian nihnpesen buat makan sendiri dan bantu pesenin teman yg titip order xfxfxxa mayan lah emak ada tambahan buat jajan minyak goreng xfxfxx,"['yeeyyy', 'pesan', 'hampers', 'dah', 'nihnpesen', 'makan', 'bantu', 'senin', 'teman', 'yg', 'titip', 'order', 'xfxfxxa', 'mayan', 'emak', 'tambah', 'jajan', 'minyak', 'goreng', 'xfxfxx']"
2022-04-18 03:20:00+00:00,Official Portal Media,gerindra pangkep gelar buka puasa bersama dan berbagi minyak goreng gratisnnbaca selengkapnya,"['gerindra', 'pangkep', 'gelar', 'buka', 'puasa', 'bagi', 'minyak', 'goreng', 'gratisnnbaca', 'lengkap']"
2022-04-18 03:19:02+00:00,Solopos,adakan bazar murah minyak goreng komunitas pawartos bagi  kupon,"['adakan', 'bazar', 'murah', 'minyak', 'goreng', 'komunitas', 'pawartos', 'kupon']"
2022-04-18 03:16:29+00:00,kerfil giraldo,kasiang eehhhtukar minyak goreng l ehh,"['kasiang', 'eehhhtukar', 'minyak', 'goreng', 'l', 'ehh']"
2022-04-18 03:16:04+00:00,티타,pake telur omega bulu kuasnya lembut dan lentur kasih minyak goreng biar polesannya nggak crack,"['pake', 'telur', 'omega', 'bulu', 'kuas', 'lembut', 'lentur', 'kasih', 'minyak', 'goreng', 'biar', 'poles', 'nggak', 'crack']"
2022-04-18 03:15:49+00:00,Polres Merangin,antisipasi kelangkaan minyak goreng  dan bahan pokok lainnya sat binmas polres merangin  terus melaksanakan pengecekan ketersedian minyak goreng  dan bahan pokok lainnya nnnnjambin,"['antisipasi', 'langka', 'minyak', 'goreng', 'bahan', 'pokok', 'sat', 'binmas', 'polres', 'rangin', 'laksana', 'kece', 'dian', 'minyak', 'goreng', 'bahan', 'pokok', 'nnnnjambin']"
2022-04-18 03:14:04+00:00,B̾e̾e̾r̾ ,bukan sih lebih ke minyak goreng  provokatif banget soalnya,"['sih', 'minyak', 'goreng', 'provokatif', 'banget']"
2022-04-18 03:13:03+00:00,Ridwan,pemerintah menjamin stok minyak goreng aman   xexxb,"['perintah', 'jamin', 'stok', 'minyak', 'goreng', 'aman', 'xexxb']"
2022-04-18 03:13:02+00:00,Eka Fitria,blt minyak goreng mulai disalurkannayo percaya jokowi,"['blt', 'minyak', 'goreng', 'disalurkannayo', 'percaya', 'jokowi']"
2022-04-18 03:11:11+00:00,CNBC Indonesia,bpesawat terbesar dunia terbang dengan minum minyak goreng,"['bpesawat', 'besar', 'dunia', 'terbang', 'minum', 'minyak', 'goreng']"
2022-04-18 03:10:00+00:00,Jamus,sudah dua hari pencairan sembako dan uang minyak goreng di kantor pos ayo percaya jokowi,"['cair', 'sembako', 'uang', 'minyak', 'goreng', 'kantor', 'pos', 'ayo', 'percaya', 'jokowi']"
2022-04-18 03:09:57+00:00,Jamus,warga pidie mulai terima sembako dan uang minyak goreng ayo percaya jokowi,"['warga', 'pidie', 'terima', 'sembako', 'uang', 'minyak', 'goreng', 'ayo', 'percaya', 'jokowi']"
2022-04-18 03:09:52+00:00,Jamus,blt minyak goreng bisa di pakai untuk keperluan lain ayo percaya jokowi,"['blt', 'minyak', 'goreng', 'pakai', 'perlu', 'ayo', 'percaya', 'jokowi']"
2022-04-18 03:09:32+00:00,Kepak_Sayap,pemerintah terus mengawal harga dan distribusi minyak goreng untuk pastikan stok aman,"['perintah', 'awal', 'harga', 'distribusi', 'minyak', 'goreng', 'pasti', 'stok', 'aman']"
2022-04-18 03:07:27+00:00,ade hihid,woiiiy orba tumbang karena ga becus urus ekonomi tolol   th bukan hanya harga minyak goreng yg naek kerusuhan jakarta ingat itu  tolol dan goblog togog kamu,"['woiiiy', 'orba', 'tumbang', 'ga', 'becus', 'urus', 'ekonomi', 'tolol', 'th', 'harga', 'minyak', 'goreng', 'yg', 'naek', 'rusuh', 'jakarta', 'tolol', 'goblog', 'togog']"
2022-04-18 03:05:47+00:00,Chansu,id memang benar rkyt rindu era sby listrik murah bbm murah minyak goreng murah mau plng kmpng lebaran kg ribet masalah sby g prnh ngaku ngaku punya uang  triliun,"['id', 'rkyt', 'rindu', 'era', 'sby', 'listrik', 'murah', 'bbm', 'murah', 'minyak', 'goreng', 'murah', 'plng', 'kmpng', 'lebaran', 'kg', 'ribet', 'sby', 'g', 'prnh', 'ngaku', 'ngaku', 'uang', 'triliun']"
